"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","FAQ list","tests","2026-04-06","passed","2026-04-06","TestFAQList","test_faq_list","",""
"","555","FAQ list","tests","2026-04-06","passed","2026-04-06","TestFAQList","test_faq_list","",""
"","552","FAQ list","tests","2026-04-06","passed","2026-04-06","TestFAQList","test_faq_list","",""
"","552","FAQ list","tests","2026-04-06","passed","2026-04-06","TestFAQList","test_faq_list","",""
"","559","FAQ list","tests","2026-04-06","passed","2026-04-06","TestFAQList","test_faq_list","",""
"","537","FAQ list","tests","2026-04-06","passed","2026-04-06","TestFAQList","test_faq_list","",""
"","3648","Order positive","tests","2026-04-06","passed","2026-04-06","TestOrderFlow","test_order_flow","",""
"","627","FAQ list","tests","2026-04-06","passed","2026-04-06","TestFAQList","test_faq_list","",""
"","553","FAQ list","tests","2026-04-06","passed","2026-04-06","TestFAQList","test_faq_list","",""
"","3627","Order positive","tests","2026-04-06","passed","2026-04-06","TestOrderFlow","test_order_flow","",""
